Name,Rating_yelp,Location,latitude,longitude,Rating_foursquare
Orient Express Cocktail Bar,5.0,"Carrer del Comte d'Urgell, 134",41.385068,2.15498,
Ginette,5.0,"Carrer del Rec Comtal, 12",41.38956,2.1798099,
Pasticelía,5.0,"Carrer de París, 165",41.39229,2.15129,
Itacate,5.0,"Carrer de Comte Borrell, 107",41.3798,2.15922,
Stop & Mos,5.0,"Carrer de los Castillejos, 158",41.4009578,2.1861613,
Somnia,5.0,"Calle Montserrat, 13",41.37713,2.17506,
Nomm,5.0,"Avinguda del Paraŀlel, 130",41.37516,2.1614399,
La Catalista,5.0,"Carrer dels Carders, 11",41.38613,2.17998,
Bicnic,5.0,"Carrer de Girona, 68",41.394863,2.1712607,
Obsessions,5.0,"Carrer Nou de la Rambla, 149",41.3727303,2.16781,
El Desván,5.0,"Gran Via de les Corts Catalanes, 453",41.379211,2.154061,
El Bar del Basko,5.0,"Carrer de Guitert, 19",41.379494,2.190613,
Pizzeria Carla,5.0,"Carrer de Sicília, 117",41.3967893785501,2.17977493907759,
Zed,5.0,"Carrer de València, 399",41.40128,2.17457,
Casa Mariol,5.0,"Carrer del Rosellón, 442",41.4071487,2.175912,
Rekons,5.0,"Carrer de Blai, 48",41.37421,2.16323,
Fruit Express,5.0,"Carrer de la Mercé, 8",41.379203226585,2.17919612657055,
Greco's of Brooklyn,5.0,"Carrer de Mallorca, 308",41.39719,2.16719,
Copitas,5.0,"Carrer del Rosselló, 473",41.40701,2.1752064,
Cal Robert,5.0,"Carrer de Requesens, 7",41.379588,2.163892,
The Coffee House,5.0,"Carrer de València, 143",41.38727,2.15592,
Sergi de Meià,5.0,Carrer laForja 83,41.3903936,2.1568674,
Bodega,5.0,"Carrer dels Mirallers, 15",41.38381587,2.18163391,
Espai Quera Llibres i platillos,5.0,"Carrer de Petritxol, 2",41.38252,2.17342,
Madame George,5.0,"Carrer de Pujades, 179",41.40206,2.20104,
Can Sardi,5.0,"Carrer de Pepe Rubianes, 25",41.37864,2.19053,
