Name,Rating,Location,Latitude,Longitude
Ginette,5.0,"Carrer del Rec Comtal, 12",41.38956,2.1798099
Pasticelía,5.0,"Carrer de París, 165",41.39229,2.15129
Lilith & Sons,5.0,"Carrer d'En Fontrodona, 23",41.37311,2.16706
Imperfecto36,5.0,"Carrer de la Mercè, 36",41.38082,2.18089
Itacate,5.0,"Carrer de Comte Borrell, 107",41.3798,2.15922
Stop & Mos,5.0,"Carrer de los Castillejos, 158",41.4009578,2.1861613
Somnia,5.0,"Calle Montserrat, 13",41.37713,2.17506
Obsessions,5.0,"Carrer Nou de la Rambla, 149",41.3727303,2.16781
El Bar del Basko,5.0,"Carrer de Guitert, 19",41.379494,2.190613
La Catalista,5.0,"Carrer dels Carders, 11",41.38613,2.17998
El Desván,5.0,"Gran Via de les Corts Catalanes, 453",41.379211,2.154061
Nomm,5.0,"Avinguda del Paraŀlel, 130",41.37516,2.1614399
Bicnic,5.0,"Carrer de Girona, 68",41.394863,2.1712607
Casa Mariol,5.0,"Carrer del Rosellón, 442",41.4071487,2.175912
Zed,5.0,"Carrer de València, 399",41.40128,2.17457
Fruit Express,5.0,"Carrer de la Mercé, 8",41.379203226585,2.17919612657055
Pizzeria Carla,5.0,"Carrer de Sicília, 117",41.3967893785501,2.17977493907759
Orient Express Cocktail Bar,5.0,"Carrer del Comte d'Urgell, 134",41.385068,2.15498
Rekons,5.0,"Carrer de Blai, 48",41.37421,2.16323
Raffaelli,5.0,"Carrer de Luis Antúnez, 11",41.39819,2.15505
La Tartareria,5.0,"Carrer de Muntaner, 26",41.38537,2.16123
Greco's of Brooklyn,5.0,"Carrer de Mallorca, 308",41.39719,2.16719
Flax & Kale,5.0,"Carrer de Sant Pere Més Alt, 31-33",41.38841,2.17657
Bodega,5.0,"Carrer dels Mirallers, 15",41.38381587,2.18163391
Sergi de Meià,5.0,Carrer laForja 83,41.3903936,2.1568674
Cal Robert,5.0,"Carrer de Requesens, 7",41.379588,2.163892
The Coffee House,5.0,"Carrer de València, 143",41.38727,2.15592
Makekosa,5.0,"Carrer de Floridablanca, 102",41.3795870007068,2.16014217585325
Mastica,5.0,"Carrer del Carme, 40",41.38196,2.16963
Espai Quera Llibres i platillos,5.0,"Carrer de Petritxol, 2",41.38252,2.17342
Copitas,5.0,"Carrer del Rosselló, 473",41.40701,2.1752064
Taitu,5.0,"Carrer Nou de la Rambla, 149",41.3726889978646,2.16787733137608
La Bodegueta de Verdaguer,5.0,"Carrer de Provença, 366",41.3997192,2.1682701
Miseria e Nobilta,5.0,"Carrer de Besalú, 46",41.4140811275411,2.18415934592485
Quixote,5.0,"Carrer del Consell de Cent, 314",41.391758,2.166739
Madame George,5.0,"Carrer de Pujades, 179",41.40206,2.20104
Can Sardi,5.0,"Carrer de Pepe Rubianes, 25",41.37864,2.19053
Don Picantón,5.0,"Carrer Sardenya, 74",41.39194,2.18864
Efsane Istanbul,5.0,"Av. del Paraŀlel, 91",41.3748063381395,2.16490477321486
El Barón,5.0,"Carrer Correu Vell, 10",41.38172,2.17983
Pur,5.0,"Passatge de la Concepció, 11",41.394489,2.160065
Dalston Coffee,5.0,"Carrer de les Ramelleres, 16",41.3845503115756,2.168644
La Platilleria,5.0,"Carrer del Roser, 82",41.3715737817839,2.16545366682452
Amiette,5.0,"Carrer de Calabria, 65",41.377952,2.1570735
Kiltro,5.0,"Carrer del Montseny, 13",41.40181,2.15445
Gastro Burger,5.0,"Carrer Mestre Candi, 1",41.36212,2.10853
Roux Bar,5.0,"Carrer del Consell de Cent, 140",41.38189,2.15365
Sabor de Chengdu,5.0,"Carrer de Joan Gamper, 3",41.38677,2.13429
Tast-Ller [15 Loft],5.0,"Carrer d'Obradors, 15",41.37958,2.17736
Vino y Otros Remedios,5.0,"Carrer Sepulveda, 30",41.3761902,2.1533599
